Index,Name,설명
1,H250K 1호기,H250K#1호기.REFERENCE;H250K#1호기.AC VOLT1;H250K#1호기.AC VOLT2;H250K#1호기.AC VOLT3;H250K#1호기.AC CNT1;H250K#1호기.AC CNT2;H250K#1호기.AC CNT3;H250K#1호기.AC FREQ;H250K#1호기.AC ACTIVE;H250K#1호기.AC REACTIVE;H250K#1호기.AC PF;H250K#1호기.DC-link VOLTAGE;H250K#1호기.DC VOLTAGE;H250K#1호기.DC CURRENT;H250K#1호기.DC POWER;H250K#1호기.SOC
2,H250K 2호기,H250K#2호기.REFERENCE;H250K#2호기.AC VOLT1;H250K#2호기.AC VOLT2;H250K#2호기.AC VOLT3;H250K#2호기.AC CNT1;H250K#2호기.AC CNT2;H250K#2호기.AC CNT3;H250K#2호기.AC FREQ;H250K#2호기.AC ACTIVE;H250K#2호기.AC REACTIVE;H250K#2호기.AC PF;H250K#2호기.DC-link VOLTAGE;H250K#2호기.DC VOLTAGE;H250K#2호기.DC CURRENT;H250K#2호기.DC POWER;H250K#2호기.SOC
3,H50K 1호기,H50K#1호기.REFERENCE;H50K#1호기.DC-GRID SIDE$$DC-LINK VOLTAGE;H50K#1호기.DC-GRID VOLTAGE;H50K#1호기.DC-GRID CURRENT;H50K#1호기.DC-GRID POWER;H50K#1호기.BATTERY SIDE$$DC-LINK VOLTAGE;H50K#1호기.BATTERY SIDE VOLTAGE;H50K#1호기.BATTERY SIDE CURRENT;H50K#1호기.BATTERY SIDE POWER
4,H50K 2호기,H50K#2호기.REFERENCE;H50K#2호기.DC-GRID SIDE$$DC-LINK VOLTAGE;H50K#2호기.DC-GRID VOLTAGE;H50K#2호기.DC-GRID CURRENT;H50K#2호기.DC-GRID POWER;H50K#2호기.BATTERY SIDE$$DC-LINK VOLTAGE;H50K#2호기.BATTERY SIDE VOLTAGE;H50K#2호기.BATTERY SIDE CURRENT;H50K#2호기.BATTERY SIDE POWER
5,H50K 3호기,H50K#3호기.REFERENCE;H50K#3호기.DC-GRID SIDE$$DC-LINK VOLTAGE;H50K#3호기.DC-GRID VOLTAGE;H50K#3호기.DC-GRID CURRENT;H50K#3호기.DC-GRID POWER;H50K#3호기.BATTERY SIDE$$DC-LINK VOLTAGE;H50K#3호기.BATTERY SIDE VOLTAGE;H50K#3호기.BATTERY SIDE CURRENT;H50K#3호기.BATTERY SIDE POWER
6,배터리 1호기,배터리#1호기.Bank SOC(online racks);배터리#1호기.Bank SOH(online racks);배터리#1호기.BANK Voltage(online racks);배터리#1호기.BANK Current;배터리#1호기.Bank Power;배터리#1호기.Max Cell Voltage (Bank);배터리#1호기.Min Cell Voltage (Bank);배터리#1호기.Max Cell Temperature (Bank);배터리#1호기.Min Cell Temperature (Bank);배터리#1호기.Max moduel Temperature (Bank);배터리#1호기.Min module Temperature (Bank);배터리#1호기.Max moduel Humidity(Bank);배터리#1호기.Min module Humidity (Bank);배터리#1호기.Rack SOC;배터리#1호기.Rack SOH;배터리#1호기.Rack Voltage;배터리#1호기.Rack Current;배터리#1호기.Max Cell Voltage;배터리#1호기.Max Cell Voltage Position;배터리#1호기.Min Cell Voltage;배터리#1호기.Min Cell Voltage Position
7,배터리 2호기,배터리#2호기.Bank SOC(online racks);배터리#2호기.Bank SOH(online racks);배터리#2호기.BANK Voltage(online racks);배터리#2호기.BANK Current;배터리#2호기.Bank Power;배터리#2호기.Max Cell Voltage (Bank);배터리#2호기.Min Cell Voltage (Bank);배터리#2호기.Max Cell Temperature (Bank);배터리#2호기.Min Cell Temperature (Bank);배터리#2호기.Max moduel Temperature (Bank);배터리#2호기.Min module Temperature (Bank);배터리#2호기.Max moduel Humidity(Bank);배터리#2호기.Min module Humidity (Bank);배터리#2호기.Rack SOC;배터리#2호기.Rack SOH;배터리#2호기.Rack Voltage;배터리#2호기.Rack Current;배터리#2호기.Max Cell Voltage;배터리#2호기.Max Cell Voltage Position;배터리#2호기.Min Cell Voltage;배터리#2호기.Min Cell Voltage Position
8,배터리 3호기,배터리#3호기.Bank SOC(online racks);배터리#3호기.Bank SOH(online racks);배터리#3호기.BANK Voltage(online racks);배터리#3호기.BANK Current;배터리#3호기.Bank Power;배터리#3호기.Max Cell Voltage (Bank);배터리#3호기.Min Cell Voltage (Bank);배터리#3호기.Max Cell Temperature (Bank);배터리#3호기.Min Cell Temperature (Bank);배터리#3호기.Max moduel Temperature (Bank);배터리#3호기.Min module Temperature (Bank);배터리#3호기.Max moduel Humidity(Bank);배터리#3호기.Min module Humidity (Bank);배터리#3호기.Rack SOC;배터리#3호기.Rack SOH;배터리#3호기.Rack Voltage;배터리#3호기.Rack Current;배터리#3호기.Max Cell Voltage;배터리#3호기.Max Cell Voltage Position;배터리#3호기.Min Cell Voltage;배터리#3호기.Min Cell Voltage Position
9,TR500K-GIPAM,TR500K-GIPAM.상전압 R상;TR500K-GIPAM.상전압 S상;TR500K-GIPAM.상전압 T상;TR500K-GIPAM.선간전압 RS상;TR500K-GIPAM.선간전압 ST상;TR500K-GIPAM.선간전압 TR상;TR500K-GIPAM.전류 R상;TR500K-GIPAM.전류 S상;TR500K-GIPAM.전류 T상;TR500K-GIPAM.영상전류;TR500K-GIPAM.역상전류;TR500K-GIPAM.주파수
10,"태양광시스템 (발전효율, 전력) 5초간격",태양광시스템.발전효율(이용율);태양광시스템.인버터 DC전력;태양광시스템.인버터 AC전력;태양광시스템.스트링전력
